epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5436,1.84462,3.96803,1.41114,0.00308,0.34365,0.06436,0.0219,2.15801,4.67948,1.27073,0.00062963,0.00062963,0.00062963
2,143.375,1.9992,3.04986,1.41439,0.00236,0.26316,0.01947,0.0046,2.48295,5.19746,1.4325,0.00123213,0.00123213,0.00123213
3,212.218,2.02667,3.02102,1.45224,0.06116,0.07121,0.02285,0.00734,2.43828,5.36451,1.57156,0.00176863,0.00176863,0.00176863
4,275.325,2.11601,2.91433,1.49572,0.01114,0.00619,0.00074,0.00026,2.57267,6.97832,1.95308,0.001703,0.001703,0.001703
5,338.886,2.18317,2.80225,1.44857,0.02523,0.03715,0.00753,0.0023,2.59022,13.6361,1.67815,0.001604,0.001604,0.001604
6,414.005,2.2454,3.00247,1.46533,0.04035,0.0805,0.00743,0.00252,2.63731,5.29085,1.67759,0.001505,0.001505,0.001505
7,492.312,2.16665,2.85747,1.36995,0.33469,0.09598,0.08468,0.03564,2.74883,5.00169,1.64612,0.001406,0.001406,0.001406
8,564.513,2.1808,2.52263,1.45473,0.14466,0.12384,0.06022,0.0276,2.63667,27.0247,1.64184,0.001307,0.001307,0.001307
9,638.517,2.09985,2.49014,1.43037,0.05173,0.14551,0.01867,0.0077,2.46128,7.91596,1.57461,0.001208,0.001208,0.001208
10,716.441,1.95207,2.45552,1.32041,0.22094,0.15789,0.08349,0.03572,2.38344,5.47746,1.48677,0.001109,0.001109,0.001109
