epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.8584,1.84462,3.96803,1.41114,0.00308,0.34161,0.06413,0.02161,1.75521,5.44857,1.11887,0.00062963,0.00062963,0.00062963
2,185.086,2.10101,3.11934,1.48382,0.00261,0.28882,0.00149,0.00049,2.06084,5.92607,1.26368,0.00127063,0.00127063,0.00127063
3,269.281,2.05544,3.5038,1.4015,0.00122,0.08075,0.01074,0.00163,2.0058,5.85657,1.27861,0.00188523,0.00188523,0.00188523
4,345.538,2.19515,3.39586,1.52174,0.29328,0.03727,0.0283,0.00766,2.23565,5.96231,1.4876,0.0018812,0.0018812,0.0018812
5,426.704,2.10167,3.02481,1.48275,0.02614,0.02174,0.00659,0.00226,2.25161,14.4484,1.7258,0.0018416,0.0018416,0.0018416
6,503.767,2.13773,2.62738,1.46477,0.02389,0.08696,0.00475,0.00196,2.14581,10.1748,1.66582,0.001802,0.001802,0.001802
7,579.451,2.23513,2.92475,1.52506,0.02494,0.12733,0.00514,0.00184,2.28686,22.8028,1.73568,0.0017624,0.0017624,0.0017624
8,656.509,2.15538,2.75002,1.51273,0.01038,0.07453,0.00207,0.0008,2.21211,25.2476,1.66144,0.0017228,0.0017228,0.0017228
9,730.633,2.13995,2.51931,1.43591,0.22226,0.1118,0.07498,0.03603,2.1079,7.25744,1.46252,0.0016832,0.0016832,0.0016832
10,806.519,2.13104,2.49019,1.41117,0.24257,0.14286,0.08914,0.03903,1.97402,4.75748,1.36361,0.0016436,0.0016436,0.0016436
11,884.455,2.17684,2.41569,1.43298,0.35615,0.1821,0.10803,0.04692,1.98556,4.42889,1.34083,0.001604,0.001604,0.001604
12,961.474,2.07828,2.36059,1.41549,0.16055,0.15839,0.08153,0.03864,1.99847,5.52846,1.34737,0.0015644,0.0015644,0.0015644
13,1037.54,2.06096,2.30781,1.37432,0.04023,0.1087,0.01481,0.00589,1.97146,19.9035,1.36653,0.0015248,0.0015248,0.0015248
14,1113.1,2.03116,2.15581,1.34015,0.20701,0.12112,0.07668,0.03565,1.93679,11.724,1.38082,0.0014852,0.0014852,0.0014852
15,1189.39,1.9546,2.03619,1.31708,0.32994,0.12733,0.10237,0.04539,1.88841,10.5313,1.35223,0.0014456,0.0014456,0.0014456
16,1261.2,1.93238,2.01335,1.32037,0.28379,0.17702,0.13642,0.06383,1.79776,4.91028,1.31133,0.001406,0.001406,0.001406
17,1328.68,1.98006,1.99536,1.30988,0.41022,0.19876,0.17017,0.07448,1.83739,2.8608,1.3018,0.0013664,0.0013664,0.0013664
18,1396.17,1.89318,1.87727,1.26984,0.4406,0.21429,0.17192,0.08525,1.78134,2.7089,1.2826,0.0013268,0.0013268,0.0013268
19,1463.98,1.86738,1.85378,1.31808,0.39585,0.18323,0.13017,0.06344,1.7614,2.93603,1.30087,0.0012872,0.0012872,0.0012872
20,1530.67,1.99242,1.98663,1.30968,0.38429,0.20497,0.14454,0.06547,1.84376,2.86799,1.32319,0.0012476,0.0012476,0.0012476
21,1597.47,1.90875,1.96372,1.34027,0.4048,0.20497,0.16536,0.08144,1.8463,2.90507,1.27307,0.001208,0.001208,0.001208
22,1664.77,1.86809,1.85771,1.2222,0.38022,0.18944,0.15942,0.07423,1.878,2.69648,1.30444,0.0011684,0.0011684,0.0011684
23,1733.38,1.82838,1.78882,1.24108,0.45532,0.20186,0.17809,0.08034,1.80696,2.59005,1.28396,0.0011288,0.0011288,0.0011288
24,1804.82,1.75044,1.70277,1.27262,0.53552,0.20497,0.19596,0.09687,1.75995,2.63148,1.28806,0.0010892,0.0010892,0.0010892
25,1881.42,1.94234,1.73828,1.31214,0.53717,0.20497,0.20374,0.09453,1.8961,2.58978,1.31107,0.0010496,0.0010496,0.0010496
26,1953.11,1.90924,1.73477,1.28425,0.40884,0.19876,0.16544,0.07956,1.81387,2.62642,1.29031,0.00101,0.00101,0.00101
27,2029.32,1.79547,1.58707,1.22864,0.53199,0.20497,0.19587,0.09764,1.76397,2.71761,1.2642,0.0009704,0.0009704,0.0009704
28,2111.45,1.73949,1.64296,1.19047,0.50771,0.20497,0.18564,0.08745,1.81795,2.72045,1.27633,0.0009308,0.0009308,0.0009308
29,2196.63,1.75398,1.62135,1.22143,0.51066,0.19876,0.18107,0.09068,1.8278,2.33476,1.29426,0.0008912,0.0008912,0.0008912
30,2362.72,1.83969,1.69071,1.21482,0.48997,0.22077,0.19701,0.09908,1.7822,2.26472,1.26649,0.0008516,0.0008516,0.0008516
